Vzdialenosù;R˝chlosù;»as;
113;0,05;4974683;
113;0;4974885;202
114;-0,05;4975089;204
113;0,1;4975185;96
114;-0,1;4975281;96
113;0,05;4975484;203
114;-0,05;4975688;204
113;0,05;4975892;204
113;0;4976096;204
114;-0,05;4976300;204
114;0;4976503;203
114;0;4976707;204
114;0;4976912;205
114;0;4977117;205
114;0;4977321;204
115;-0,05;4977525;204
114;0,05;4977729;204
114;0;4977934;205
114;0;4978139;205
114;0;4978341;202
114;0;4978544;203
115;-0,05;4978749;205
114;0,05;4978953;204
114;0;4979158;205
114;0;4979361;203
114;0;4979565;204
114;0;4979770;205
115;-0,05;4979975;205
114;0,05;4980179;204
114;0;4980382;203
113;0,05;4980585;203
115;-0,1;4980784;199
114;0,05;4980975;191
113;0,05;4981161;186
113;0;4981341;180
114;-0,06;4981515;174
113;0,06;4981683;168
115;-0,12;4981844;161
113;0,13;4982000;156
114;-0,07;4982151;151
114;0;4982296;145
114;0;4982434;138
114;0;4982566;132
114;0;4982692;126
113;0,08;4982812;120
113;0;4982927;115
114;-0,09;4983035;108
115;-0,1;4983137;102
113;0,21;4983234;97
115;-0,22;4983324;90
113;0,24;4983408;84
113;0;4983486;78
113;0;4983559;73
112;0,15;4983625;66
113;-0,13;4983703;78
111;0,24;4983787;84
113;-0,21;4983882;95
113;0;4983990;108
115;-0,16;4984117;127
113;0,14;4984255;138
113;0;4984406;151
114;-0,06;4984567;161
114;0;4984748;181
114;0;4984939;191
114;0;4985144;205
114;0;4985342;198
113;0,05;4985528;186
114;-0,06;4985697;169
114;0;4985853;156
114;0;4985997;144
113;0,07;4986135;138
114;-0,08;4986262;127
114;0;4986377;115
114;0;4986485;108
113;0,11;4986580;95
114;-0,11;4986671;91
114;0;4986755;84
113;0,11;4986845;90
114;-0,1;4986941;96
114;0;4987043;102
114;0;4987151;108
114;0;4987254;103
114;0;4987361;107
114;0;4987469;108
114;0;4987577;108
114;0;4987685;108
114;0;4987793;108
113;0,09;4987901;108
114;-0,09;4988009;108
114;0;4988118;109
114;0;4988225;107
114;0;4988334;109
114;0;4988441;107
114;0;4988550;109
114;0;4988657;107
114;0;4988766;109
114;0;4988874;108
114;0;4988981;107
114;0;4989089;108
114;0;4989198;109
114;0;4989305;107
115;-0,09;4989413;108
114;0,09;4989521;108
115;-0,09;4989629;108
114;0,09;4989737;108
114;0;4989845;108
114;0;4989954;109
115;-0,09;4990062;108
113;0,19;4990170;108
114;-0,09;4990277;107
114;0;4990386;109
114;0;4990494;108
114;0;4990603;109
114;0;4990711;108
114;0;4990819;108
114;0;4990927;108
114;0;4991035;108
114;0;4991143;108
114;0;4991251;108
114;0;4991360;109
114;0;4991467;107
114;0;4991576;109
115;-0,09;4991683;107
115;0;4991792;109
113;0,19;4991899;107
114;-0,09;4992008;109
114;0;4992116;108
114;0;4992224;108
114;0;4992332;108
114;0;4992440;108
113;0,09;4992548;108
114;-0,09;4992656;108
114;0;4992764;108
114;0;4992871;107
114;0;4992979;108
115;-0,09;4993087;108
114;0,09;4993196;109
115;-0,09;4993303;107
114;0,09;4993412;109
113;0,09;4993519;107
113;0;4993628;109
114;-0,09;4993735;107
114;0;4993844;109
115;-0,09;4993952;108
114;0,09;4994060;108
113;0,09;4994168;108
114;-0,09;4994276;108
113;0,09;4994384;108
114;-0,09;4994492;108
113;0,09;4994600;108
113;0;4994708;108
114;-0,09;4994817;109
114;0;4994924;107
114;0;4995033;109
114;0;4995139;106
114;0;4995248;109
113;0,09;4995355;107
114;-0,09;4995464;109
113;0,09;4995572;108
114;-0,09;4995680;108
114;0;4995788;108
112;0,19;4995896;108
112;0;4996004;108
108;0,37;4996111;107
102;0,56;4996219;108
95;0,65;4996327;108
87;0,75;4996434;107
81;0,56;4996541;107
76;0,47;4996648;107
66;0,93;4996756;108
57;0,83;4996865;109
49;0,75;4996971;106
42;0,65;4997079;108
29;0,7;4997265;186
23;0,56;4997372;107
14;0,47;4997562;190
12;0,19;4997669;107
12;0;4997861;192
12;0;4997969;108
12;0;4998159;190
12;0;4998266;107
12;0;4998458;192
12;0;4998565;107
12;0;4998756;191
12;0;4998863;107
12;0;4999055;192
12;0;4999162;107
12;0;4999353;191
12;0;4999460;107
12;0;4999652;192
12;0;4999759;107
12;0;4999950;191
12;0;5000058;108
12;0;5000249;191
12;0;5000356;107
12;0;5000547;191
12;0;5000655;108
12;0;5000846;191
12;0;5000953;107
12;0;5001144;191
12;0;5001252;108
12;0;5001443;191
